native,nonnative,wiki,sense
0.5604545454545454,0.5595454545454546,0.5597727272727273,all
0.6695,0.7090000000000001,0.7470000000000001,porn
0.6135,0.5940000000000001,0.627,photo
0.7324999999999999,0.714,0.7,phone
0.599,0.5864999999999999,0.6540000000000001,bike
0.5970000000000001,0.5814999999999999,0.572,tv
0.7555,0.0,0.0,carb
0.6689999999999999,0.627,0.7424999999999999,math
0.0,0.0,0.0,limo
0.0,0.0,0.6499999999999999,dorm
0.7273302469135803,0.6575,0.7798339700264473,kilo
0.0,0.0,0.766,rhino
0.635,0.6255000000000001,0.0,undergrad
0.0,0.0,0.0,hippo
0.0,0.0,0.0,chimp
0.6074999999999999,0.587,0.8295,ref
0.0,0.6981633852483103,0.7996311352002409,roach
0.6035,0.57,0.0,fridge
0.7795,0.7339999999999999,0.6525000000000001,exam
0.591,0.0,0.0,chemo
0.0,0.0,0.5924999999999999,sax
0.7104999999999999,0.7615000000000001,0.0,frat
0.836,0.8554999999999999,0.738,memo
