long,short,cosine
kilogram,kilo,0.8513737320899963
hippopotamus,hippo,0.6944900751113892
chimpanzee,chimp,0.8413330316543579
cockroach,roach,0.441389262676239
rhinoceros,rhino,0.7476146817207336
dormitory,dorm,0.8072678446769714
carbohydrate,carb,0.7099611163139343
saxophone,sax,0.8420301079750061
fraternity,frat,0.6571362018585205
chemotherapy,chemo,0.8672370314598083
referee,ref,0.8270573616027832
memorandum,memo,0.5958287715911865
limousine,limo,0.8233724236488342
refrigerator,fridge,0.8606220483779907
undergraduate,undergrad,0.7306827306747437
bicycle,bike,0.8521308898925781
examination,exam,0.6672373414039612
mathematics,math,0.8161377310752869
photograph,photo,0.845969021320343
pornography,porn,0.75880366563797
telephone,phone,0.8224020600318909
television,tv,0.6426463723182678
