native_bert,wiki_bert,native_lr,wiki_lr,sense
0.6965,0.8035,0.675,0.759,porn
0.685,0.7225,0.5765,0.621,photo
0.72,0.7605,0.7455,0.6825,phone
0.6085,0.751,0.6135,0.647,bike
0.607,0.6615,0.608,0.5515,tv
1,0.998737374,0.747,0,carb
0.727,0.7975,0.6465,0.745,math
0.664879357,0.680241327,0,0,limo
0.720634921,0.7175,0,0.6355,dorm
1,0.998657718,0,0,kilo
0.469811321,0.56,0,0.765,rhino
0.566,0.503333333,0.6395,0,undergrad
1,1,0,0,hippo
1,1,0,0,chimp
0.5755,0.876,0.602,0.8215,ref
0.399182561,0.651254954,0,0,roach
0.6405,0.727927928,0.615,0,fridge
0.8495,0.716,0.789,0.6875,exam
0.5045,0.670673077,0.5955,0,chemo
0.592153285,0.6345,0,0.6335,sax
0.4655,0.563049853,0.7175,0,frat
0.8155,0.769,0.838,0.728,memo
0.7365,0.7495,0.6625,0.665,lab
0.515,0.5605,0.647,0.7015,info
